tx_regularity_score,bill_payment_rate,income_stability,has_savings_behaviour,merchant_diversity,avg_monthly_inflow,account_age_months,credit_score
66.63050228897919,50.003173090905506,13.940978002540676,0.0,7.0,24.514621135976817,47.0,46.895240201532175
25.84686627014551,89.86273377417497,62.07489435544026,0.0,2.0,72.27113404112235,18.0,47.87113489632396
65.60653376808476,29.208864113062493,42.52312497518772,0.0,5.0,7.925403742749681,22.0,40.28364920684602
8.875438251422931,77.20355010385144,37.06785111578867,1.0,8.0,73.9106882054827,29.0,51.78653107608598
44.43289820521854,53.09480492214321,36.60063763613336,1.0,3.0,28.881915759022636,8.0,45.946358290914226
35.57470868265343,17.315440891324705,41.23806977701705,0.0,2.0,6.923406426476128,8.0,24.608619477427464
26.50048399311393,15.843715846718565,26.34405534410019,0.0,1.0,24.401507944301443,3.0,17.63455785433086
56.75518063074366,50.38132477499936,11.802443810368505,0.0,0.0,17.262083154315693,30.0,35.739856776595765
55.621917476983164,78.81295814231053,10.805472020937888,1.0,5.0,43.76124624653907,10.0,52.06170490060846
38.88222316369946,63.35893709435306,33.871458758335834,0.0,4.0,30.901803841747927,8.0,37.28595122634859
47.30105348238784,48.02974057577705,17.29430488961594,1.0,9.0,31.91355019807244,7.0,45.38816382975919
78.02601968103768,69.22073145100072,10.33033687170976,0.0,3.0,27.78866372845925,38.0,49.350195098587406
21.551536950453286,73.9128569180248,21.28297318521374,0.0,6.0,46.66789545399165,39.0,41.1810510132421
37.93995348708232,38.27209753946465,21.72335976797456,1.0,5.0,8.795802661893147,19.0,40.86526743013619
68.57478341112615,57.85417252215813,39.3166265846698,0.0,6.0,33.451749443054275,14.0,47.05626595578278
52.48972667499936,34.22322094762359,35.154494348775856,0.0,4.0,9.96684396867639,33.0,38.450139321451104
49.933623475235024,44.25741762697344,29.551957515337108,0.0,6.0,5.0,47.0,43.3498184452862
41.78392437817664,49.27475836873132,31.760317625439022,1.0,8.0,46.523921875934455,28.0,51.21387931600015
47.389379494075826,52.04717740199458,29.671071955475853,1.0,2.0,9.973058417899434,20.0,46.49281478347077
45.0119438759712,43.82086268991184,46.1102545007083,0.0,4.0,5.0,40.0,42.53025254161242
19.72431589632532,23.645140033022372,22.64785252169945,0.0,2.0,7.664186928327772,44.0,26.025218225243364
68.75146489463322,88.78416640152764,26.752134594967842,1.0,4.0,173.1528724163849,1.0,61.07239219136148
19.466114511716174,14.268164923725871,18.799613618398702,0.0,7.0,63.35077203288925,26.0,23.543841356531374
52.52826716165154,50.83353328307953,14.29779972950834,0.0,4.0,29.235607024865374,10.0,34.03472219758174
45.43567720294638,15.605890789074554,21.192067563557675,0.0,4.0,14.543778239333573,32.0,29.123014408836774
18.00170284539297,29.71928024882025,40.60080743152271,0.0,2.0,14.617803380660485,32.0,28.342763327471054
43.46518189604637,65.19954061784306,40.14102429367617,0.0,1.0,15.474043233385165,20.0,40.337199685208624
78.48478924878766,69.86032372651366,19.631204648887802,0.0,3.0,144.37719264770655,36.0,53.40006302655703
52.56657492553016,53.91966436676648,63.37506887831446,1.0,1.0,49.30605548895735,30.0,57.19936137518287
25.207889098454483,65.51811208744344,35.69933487939175,0.0,3.0,15.20952119571777,34.0,39.20889102960052
10.23803593474829,21.701127712748427,11.129297219792146,1.0,6.0,5.0,33.0,31.18565035583261
36.95171510385492,32.87316963723707,62.000962025520664,0.0,4.0,10.725548169800428,14.0,35.65425788710647
58.00614274740277,41.35569282996655,76.84874647527157,1.0,4.0,8.151203885860294,22.0,57.62323226711385
35.65890517898823,71.1485134443932,26.067095883921997,0.0,4.0,8.247135208954793,28.0,40.580216536808855
40.28967574095293,41.634996727115286,23.663613013025646,0.0,0.0,104.56269423963386,30.0,33.55514460441486
30.717914857163713,22.883098463944627,34.436796536376185,0.0,8.0,9.732109379994638,47.0,35.60725482515222
39.58897664468887,55.853420920176454,29.27719372721011,0.0,2.0,6.196064699396742,8.0,32.83995943064629
20.585890845850955,19.971691032027216,20.111003068748897,0.0,4.0,62.360530900320626,28.0,23.908806701225735
26.47543528173889,49.28271450979271,40.280895802572935,0.0,8.0,60.00141107053211,21.0,37.90407816314146
32.89543334149151,75.7923734317436,42.99615097818936,0.0,2.0,19.764052326802922,9.0,39.37479626881604
55.02286125256882,67.73462849150307,19.08981890091003,0.0,5.0,34.686555465693445,45.0,47.90940065884718
51.05656310461787,55.91892947598767,39.20200166998377,1.0,4.0,138.9926933491568,16.0,53.364127346131276
77.04793474979365,81.99592661132093,26.257202039472784,0.0,2.0,104.77755854897633,28.0,54.2746235858194
31.50743957942661,36.869343382554796,50.96527852233944,0.0,4.0,11.07486332186375,1.0,30.383748711400514
68.85324076169327,66.24756105749542,43.70974392270006,0.0,6.0,17.90120975220508,37.0,54.583506767714624
82.70806304822608,51.418186428926916,15.580440555767753,1.0,4.0,12.85000333279163,5.0,50.61298388043097
57.4900982984685,63.10448168042768,5.208983662562957,1.0,2.0,7.629077735403387,12.0,45.17635661527804
72.61388994806983,69.10877194618207,45.71427512050952,0.0,6.0,8.726769966269453,10.0,50.8313892303236
49.00536193765495,37.48347715196886,59.36466450642087,0.0,1.0,33.77255705544394,18.0,38.58726048146567
17.268960830688833,54.086821619980384,21.795726824189472,0.0,1.0,27.464906881381264,15.0,26.53905578179949
47.39935990464013,52.785766544148,27.267519701280886,1.0,2.0,59.9683652953017,45.0,52.40748619169258
13.04132313866489,55.32812889801293,32.30991092904048,0.0,7.0,16.74051131320539,2.0,28.972488754574993
57.21192331700199,21.483381101022058,76.84001338519522,1.0,2.0,41.38885009971599,16.0,50.53627245020605
32.69603008825167,35.16221655979842,48.6724641447433,1.0,5.0,202.79435812262113,40.0,52.421608320080274
62.581366649607986,74.63382151705514,11.12405927146012,0.0,5.0,20.68457714744737,9.0,42.150633772240084
47.387392174362965,61.91008771574546,15.318301941986046,0.0,2.0,31.224325016192775,29.0,38.38751686124817
26.555393312939877,30.533504802903916,25.076237216189746,0.0,1.0,40.097593109653914,16.0,24.089423834391976
40.960270085918445,73.62873163209058,31.650246531711694,0.0,3.0,34.39091190857909,12.0,40.16511797401618
39.28203996719976,30.866408365734184,9.24207162924309,0.0,2.0,8.547312265141013,14.0,23.806472654384923
71.2207959607956,43.78615369666981,47.20058441888842,1.0,2.0,30.547034455305585,40.0,58.46946165391682
41.726300487407535,57.161099200059695,44.02843845450999,0.0,2.0,5.0,38.0,42.877537612768805
78.39538404090867,57.218830352779094,42.80822199414486,0.0,3.0,64.48132568560345,33.0,52.62982451096298
60.383509277043366,64.04598958110297,44.06525852446816,1.0,5.0,20.481796725932526,46.0,63.24672902061553
54.66811523099761,71.68682674495776,13.619047598351033,1.0,1.0,22.704709828854423,25.0,50.641639210236136
73.3114210561592,40.37338008049162,35.20389203154835,0.0,6.0,5.0,23.0,44.353645357139044
57.469553303344135,51.485665977099096,26.962957378684855,0.0,1.0,5.903721244803199,7.0,34.874470720743844
34.97588136793473,51.41160925477494,39.28306760086136,0.0,2.0,16.531642011908527,47.0,40.90911901608786
31.382044488679345,25.785666955870706,23.894332392241076,0.0,4.0,73.29213606466841,33.0,30.078303727545766
75.079697613894,32.00600095157919,44.478119679756674,0.0,5.0,5.283529472377557,7.0,40.56438583343385
29.1085173339026,14.101223945000813,46.944566125650645,1.0,4.0,15.237551414125996,21.0,37.537766239805165
34.764652037351745,70.92688530435251,29.37299991911914,0.0,4.0,70.09502785600723,11.0,38.65771820970336
60.04087432287868,59.35364358468927,12.876479606927377,0.0,4.0,50.08406432325926,18.0,39.84227335140931
23.693664792933156,55.38323466890582,43.01684230048101,0.0,2.0,15.398426027183646,11.0,32.30556184609962
29.55392668035561,23.95259590356019,61.253121015532344,0.0,3.0,5.0,21.0,32.10225484908542
